date,temp_mean_c,precipitation_mm,weathercode
2025-01-01,7.4,4.5,63
2025-01-02,2.6,0.0,3
2025-01-03,0.4,0.0,3
2025-01-04,-1.4,0.0,3
2025-01-05,-2.2,0.0,3
2025-01-06,-2.3,1.7,73
2025-01-07,-5.2,0.0,3
2025-01-08,-4.3,0.0,3
2025-01-09,-4.2,0.0,3
2025-01-10,-0.9,0.0,3
2025-01-11,-1.2,2.0,73
2025-01-12,0.6,0.0,3
2025-01-13,1.3,0.0,3
2025-01-14,-1.7,0.0,3
2025-01-15,-3.4,0.0,3
2025-01-16,-3.2,0.3,71
2025-01-17,-0.7,0.0,3
2025-01-18,2.8,2.1,53
2025-01-19,0.7,8.8,75
2025-01-20,-7.1,0.2,71
2025-01-21,-11.4,0.4,71
2025-01-22,-11.8,0.0,3
2025-01-23,-8.6,0.0,3
2025-01-24,-6.3,0.0,3
2025-01-25,-7.0,0.0,3
2025-01-26,-1.0,0.0,3
2025-01-27,-1.3,0.0,3
2025-01-28,0.7,0.0,3
2025-01-29,4.1,0.0,3
2025-01-30,-2.0,0.0,3
2025-01-31,3.6,10.3,61
2025-02-01,0.7,2.4,53
2025-02-02,-4.5,1.2,73
2025-02-03,1.9,0.3,71
2025-02-04,3.6,0.3,51
2025-02-05,-1.4,0.0,3
2025-02-06,1.1,8.5,75
2025-02-07,1.4,0.0,3
2025-02-08,-1.8,7.8,75
2025-02-09,-0.1,6.4,75
2025-02-10,-2.1,0.0,3
2025-02-11,-4.2,1.2,73
2025-02-12,-0.7,4.5,73
2025-02-13,3.4,6.6,71
2025-02-14,-1.1,0.0,3
2025-02-15,-1.0,6.9,73
2025-02-16,3.0,23.1,63
2025-02-17,-1.5,0.0,3
2025-02-18,-5.3,0.0,3
2025-02-19,-5.2,0.0,3
2025-02-20,-4.8,0.9,71
2025-02-21,-3.9,0.0,3
2025-02-22,-2.1,0.0,3
2025-02-23,2.5,0.0,3
2025-02-24,3.4,0.0,3
2025-02-25,7.1,0.0,3
2025-02-26,7.2,0.1,51
2025-02-27,8.5,9.2,63
2025-02-28,6.1,0.0,3
2025-03-01,7.0,0.0,3
2025-03-02,-3.4,0.0,3
2025-03-03,-1.5,0.0,3
2025-03-04,4.8,0.0,3
2025-03-05,9.7,39.2,65
2025-03-06,9.6,2.9,63
2025-03-07,3.8,0.0,3
2025-03-08,3.6,0.0,3
2025-03-09,3.7,0.0,3
2025-03-10,9.5,0.0,2
2025-03-11,9.5,0.0,1
2025-03-12,7.5,0.0,3
2025-03-13,5.7,0.0,3
2025-03-14,6.0,0.0,3
2025-03-15,6.6,0.5,51
2025-03-16,12.7,8.2,63
2025-03-17,11.6,30.9,65
2025-03-18,6.8,0.0,3
2025-03-19,8.1,0.0,3
2025-03-20,7.8,11.4,63
2025-03-21,6.5,7.3,63
2025-03-22,8.3,0.0,3
2025-03-23,3.2,0.0,3
2025-03-24,7.1,13.7,63
2025-03-25,9.3,0.0,3
2025-03-26,6.0,0.3,51
2025-03-27,4.6,0.0,1
2025-03-28,10.1,1.3,55
2025-03-29,16.0,7.3,61
2025-03-30,8.7,0.3,51
2025-03-31,16.6,39.2,65
2025-04-01,8.8,6.6,63
2025-04-02,4.7,0.0,3
2025-04-03,15.2,1.5,53
2025-04-04,17.5,7.2,63
2025-04-05,9.5,1.5,53
2025-04-06,9.9,3.1,61
2025-04-07,6.1,8.5,55
2025-04-08,4.6,0.0,3
2025-04-09,3.3,0.0,1
2025-04-10,5.2,0.7,51
2025-04-11,5.8,11.7,61
2025-04-12,3.9,17.2,73
2025-04-13,8.9,0.0,3
2025-04-14,10.6,0.0,3
2025-04-15,13.4,1.4,61
2025-04-16,7.7,0.0,3
2025-04-17,9.3,0.0,2
2025-04-18,12.0,0.0,3
2025-04-19,21.0,0.1,51
2025-04-20,16.0,0.0,3
2025-04-21,10.6,0.3,51
2025-04-22,18.7,0.1,51
2025-04-23,17.6,0.0,3
2025-04-24,19.5,0.0,3
2025-04-25,19.3,0.0,3
2025-04-26,18.5,13.2,63
2025-04-27,11.8,0.0,3
2025-04-28,16.0,0.0,3
2025-04-29,19.5,0.0,3
2025-04-30,20.4,0.0,3
2025-05-01,15.7,0.0,3
2025-05-02,21.9,0.0,3
2025-05-03,22.7,8.7,63
2025-05-04,17.8,13.6,63
2025-05-05,16.2,12.7,63
2025-05-06,16.3,21.3,65
2025-05-07,17.8,0.3,51
2025-05-08,18.5,0.4,51
2025-05-09,14.3,14.6,63
2025-05-10,15.1,0.0,3
2025-05-11,17.7,0.0,3
2025-05-12,16.2,0.0,3
2025-05-13,17.3,3.9,55
2025-05-14,16.3,26.5,65
2025-05-15,18.4,4.1,63
2025-05-16,18.1,0.9,53
2025-05-17,21.8,2.5,61
2025-05-18,19.1,0.5,51
2025-05-19,15.9,0.0,3
2025-05-20,13.9,0.0,3
